time,cpu,mem,diskSeq,diskRand,fork,uplink
1608390356,943.99,40570.34,122.86,28.25,4291.80435483870967741935,50.0
1608390502,944.33,40514.86,115.87,23.20,4275.64593495934959349593,69.0
1608390643,942.57,40634.56,123.58,23.26,4252.81612903225806451612,87.7
1608390785,945.36,40507.64,118.83,21.58,4273.44188524590163934426,89.2
1608390926,947.37,40646.41,113.98,23.81,4262.09008130081300813008,111
1608391067,945.11,40528.11,118.09,23.97,4264.41145161290322580645,92.1
1608391209,945.37,40509.73,108.94,18.68,4263.69723577235772357723,65.8
1608391350,947.34,40557.84,125.22,24.41,4264.85656000000000000000,-1
1608391431,944.73,40668.93,117.18,24.12,4269.49097560975609756097,46.1
1608391572,940.78,40640.12,120.02,24.22,4264.37495934959349593495,97.9
time,cpu,mem,diskSeq,diskRand,fork,uplink
